X,P,alpha,Y,Z,delta_Zwhz,delta_Zwhx,delta_Zwbez,delta_Xwhx,delta_Xwhz,delta_Xwbex,delta_Xkacn,delta_XH,delta_XT,delta_XTsz,delta_XTbic,theta_c,vc,tc,Ba,Bbe
9100,918,,3780,-96,21,26,16,63,115,301,130,42,168,61,8,63,277,56,42,76
9200,903,,3705,-91,21,25,16,58,105,303,131,42,170,62,7,62,276,55,41,78
9400,869,,3520,-79,20,23,15,46,84,307,132,43,175,63,6,60,274,54,38,81
9600,829,,3280,-68,19,21,14,30,57,311,134,43,180,64,4,58,271,52,34,84
9800,750,,2865,-52,18,19,13,2,5,315,136,43,184,65,3,54,268,49,30,85
